time,Target_pos_x,Target_pos_y,Target_pos_z,Target_rot_x,Target_rot_y,Target_rot_z
913.4445,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.4556,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.4667,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.4778,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.4889,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.5,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.5111,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.5222,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.5333,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.5445,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.5556,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.5667,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.5778,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.5889,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.6,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.6111,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.6223,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.6334,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.6445,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.6556,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.6667,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.6778,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.6889,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.7,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.7111,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.7222,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.7333,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.7444,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.7556,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.7667,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.7778,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.7889,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.8,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.8112,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.8223,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.8334,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.8445,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.8556,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.8667,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.8778,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.8889,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.9,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.9111,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.9222,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.9333,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.9445,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.9556,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.9667,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.9778,-0.0975,0.7727,0.175,0.0,0.0,0.0
913.9889,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.0,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.0111,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.0222,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.0333,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.0445,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.0556,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.0667,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.0778,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.0889,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.1,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.1111,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.1223,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.1334,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.1445,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.1556,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.1667,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.1778,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.1889,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.2,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.2111,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.2222,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.2333,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.2444,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.2556,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.2667,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.2778,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.2889,-0.0975,0.7727,0.175,0.0,0.0,0.0
914.3,-0.0975,0.7727,0.175,0.0,0.0,0.0
