time,FailOnTouchObstacleShort-1_pos_x,FailOnTouchObstacleShort-1_pos_y,FailOnTouchObstacleShort-1_pos_z,FailOnTouchObstacleShort-1_rot_x,FailOnTouchObstacleShort-1_rot_y,FailOnTouchObstacleShort-1_rot_z
1307.367,-0.1775,0.79,0.055,0.0,0.0,0.0
1307.378,-0.1775,0.79,0.055,-0.001,-0.001,-0.001
1307.389,-0.1775,0.79,0.055,-0.002,-0.002,-0.002
1307.4,-0.1775,0.79,0.055,-0.0024,-0.0024,-0.0024
1307.411,-0.1775,0.79,0.055,-0.0025,-0.0025,-0.0025
1307.422,-0.1775,0.79,0.055,-0.0023,-0.0023,-0.0023
1307.433,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.444,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.4560000000001,-0.1775,0.79,0.055,-0.0021,-0.0021,-0.0021
1307.4669999999999,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.478,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.489,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.5,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.511,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.522,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.5330000000001,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.5439999999999,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.556,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.567,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.578,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.589,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.6,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.611,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.622,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.633,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
1307.645,-0.1775,0.79,0.055,-0.0022,-0.0022,-0.0022
