time,FailOnTouchObstacleLong-1_pos_x,FailOnTouchObstacleLong-1_pos_y,FailOnTouchObstacleLong-1_pos_z,FailOnTouchObstacleLong-1_rot_x,FailOnTouchObstacleLong-1_rot_y,FailOnTouchObstacleLong-1_rot_z
455.1667,-0.0475,0.79,0.055,0.0,0.0,0.0
455.1778,-0.0475,0.79,0.055,0.0002,0.0002,0.0002
455.1889,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.2,-0.0475,0.79,0.055,0.0005,0.0005,0.0005
455.2111,-0.0475,0.79,0.055,0.0005,0.0005,0.0005
455.2222,-0.0475,0.79,0.055,0.0005,0.0005,0.0005
455.2333,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.2444,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.2556,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.2667,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.2778,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.2889,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.3,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.3111,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.3222,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.3333,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.3445,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.3556,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.3667,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.3778,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.3889,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.4,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.4111,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.4222,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.4333,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.4445,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.4556,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.4667,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.4778,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.4889,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.5,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.5111,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.5222,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.5334,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.5445,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.5556,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.5667,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.5778,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.5889,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.6,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.6111,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.6222,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.6333,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.6445,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.6556,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.6667,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.6778,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.6889,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.7,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.7111,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.7222,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.7333,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.7444,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.7556,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.7667,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.7778,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.7889,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.8,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.8111,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.8222,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.8333,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.8445,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.8556,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.8667,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.8778,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.8889,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.9,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.9111,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
455.9222,-0.0475,0.79,0.055,0.0004,0.0004,0.0004
