time,Target_pos_x,Target_pos_y,Target_pos_z,Target_rot_x,Target_rot_y,Target_rot_z
748.6556,0.0,0.7727,0.175,0.0,0.0,0.0
748.6667,0.0,0.7727,0.175,0.0,0.0,0.0
748.6778,0.0,0.7727,0.175,0.0,0.0,0.0
748.6889,0.0,0.7727,0.175,0.0,0.0,0.0
748.7,0.0,0.7727,0.175,0.0,0.0,0.0
748.7111,0.0,0.7727,0.175,0.0,0.0,0.0
748.7222,0.0,0.7727,0.175,0.0,0.0,0.0
748.7333,0.0,0.7727,0.175,0.0,0.0,0.0
748.7444,0.0,0.7727,0.175,0.0,0.0,0.0
748.7556,0.0,0.7727,0.175,0.0,0.0,0.0
748.7667,0.0,0.7727,0.175,0.0,0.0,0.0
748.7778,0.0,0.7727,0.175,0.0,0.0,0.0
748.7889,0.0,0.7727,0.175,0.0,0.0,0.0
748.8,0.0,0.7727,0.175,0.0,0.0,0.0
748.8112,0.0,0.7727,0.175,0.0,0.0,0.0
748.8223,0.0,0.7727,0.175,0.0,0.0,0.0
748.8334,0.0,0.7727,0.175,0.0,0.0,0.0
748.8445,0.0,0.7727,0.175,0.0,0.0,0.0
748.8556,0.0,0.7727,0.175,0.0,0.0,0.0
748.8667,0.0,0.7727,0.175,0.0,0.0,0.0
748.8778,0.0,0.7727,0.175,0.0,0.0,0.0
748.8889,0.0,0.7727,0.175,0.0,0.0,0.0
748.9,0.0,0.7727,0.175,0.0,0.0,0.0
748.9111,0.0,0.7727,0.175,0.0,0.0,0.0
748.9222,0.0,0.7727,0.175,0.0,0.0,0.0
748.9333,0.0,0.7727,0.175,0.0,0.0,0.0
748.9445,0.0,0.7727,0.175,0.0,0.0,0.0
748.9556,0.0,0.7727,0.175,0.0,0.0,0.0
748.9667,0.0,0.7727,0.175,0.0,0.0,0.0
748.9778,0.0,0.7727,0.175,0.0,0.0,0.0
748.9889,0.0,0.7727,0.175,0.0,0.0,0.0
749.0,0.0,0.7727,0.175,0.0,0.0,0.0
749.0111,0.0,0.7727,0.175,0.0,0.0,0.0
749.0222,0.0,0.7727,0.175,0.0,0.0,0.0
749.0333,0.0,0.7727,0.175,0.0,0.0,0.0
749.0444,0.0,0.7727,0.175,0.0,0.0,0.0
749.0556,0.0,0.7727,0.175,0.0,0.0,0.0
749.0667,0.0,0.7727,0.175,0.0,0.0,0.0
749.0778,0.0,0.7727,0.175,0.0,0.0,0.0
749.0889,0.0,0.7727,0.175,0.0,0.0,0.0
749.1,0.0,0.7727,0.175,0.0,0.0,0.0
749.1111,0.0,0.7727,0.175,0.0,0.0,0.0
749.1223,0.0,0.7727,0.175,0.0,0.0,0.0
749.1334,0.0,0.7727,0.175,0.0,0.0,0.0
749.1445,0.0,0.7727,0.175,0.0,0.0,0.0
749.1556,0.0,0.7727,0.175,0.0,0.0,0.0
749.1667,0.0,0.7727,0.175,0.0,0.0,0.0
749.1778,0.0,0.7727,0.175,0.0,0.0,0.0
749.1889,0.0,0.7727,0.175,0.0,0.0,0.0
749.2,0.0,0.7727,0.175,0.0,0.0,0.0
749.2111,0.0,0.7727,0.175,0.0,0.0,0.0
749.2222,0.0,0.7727,0.175,0.0,0.0,0.0
749.2333,0.0,0.7727,0.175,0.0,0.0,0.0
749.2444,0.0,0.7727,0.175,0.0,0.0,0.0
749.2556,0.0,0.7727,0.175,0.0,0.0,0.0
749.2667,0.0,0.7727,0.175,0.0,0.0,0.0
749.2778,0.0,0.7727,0.175,0.0,0.0,0.0
749.2889,0.0,0.7727,0.175,0.0,0.0,0.0
749.3,0.0,0.7727,0.175,0.0,0.0,0.0
749.3112,0.0,0.7727,0.175,0.0,0.0,0.0
749.3223,0.0,0.7727,0.175,0.0,0.0,0.0
749.3334,0.0,0.7727,0.175,0.0,0.0,0.0
749.3445,0.0,0.7727,0.175,0.0,0.0,0.0
749.3556,0.0,0.7727,0.175,0.0,0.0,0.0
749.3667,0.0,0.7727,0.175,0.0,0.0,0.0
749.3778,0.0,0.7727,0.175,0.0,0.0,0.0
749.3889,0.0,0.7727,0.175,0.0,0.0,0.0
749.4,0.0,0.7727,0.175,0.0,0.0,0.0
749.4111,0.0,0.7727,0.175,0.0,0.0,0.0
749.4222,0.0,0.7727,0.175,0.0,0.0,0.0
749.4333,0.0,0.7727,0.175,0.0,0.0,0.0
749.4445,0.0,0.7727,0.175,0.0,0.0,0.0
749.4556,0.0,0.7727,0.175,0.0,0.0,0.0
749.4667,0.0,0.7727,0.175,0.0,0.0,0.0
749.4778,0.0,0.7727,0.175,0.0,0.0,0.0
749.4889,0.0,0.7727,0.175,0.0,0.0,0.0
749.5,0.0,0.7727,0.175,0.0,0.0,0.0
749.5111,0.0,0.7727,0.175,0.0,0.0,0.0
749.5222,0.0,0.7727,0.175,0.0,0.0,0.0
749.5333,0.0,0.7727,0.175,0.0,0.0,0.0
749.5444,0.0,0.7727,0.175,0.0,0.0,0.0
749.5556,0.0,0.7727,0.175,0.0,0.0,0.0
749.5667,0.0,0.7727,0.175,0.0,0.0,0.0
749.5778,0.0,0.7727,0.175,0.0,0.0,0.0
749.5889,0.0,0.7727,0.175,0.0,0.0,0.0
749.6,0.0,0.7727,0.175,0.0,0.0,0.0
749.6111,0.0,0.7727,0.175,0.0,0.0,0.0
749.6223,0.0,0.7727,0.175,0.0,0.0,0.0
749.6334,0.0,0.7727,0.175,0.0,0.0,0.0
749.6445,0.0,0.7727,0.175,0.0,0.0,0.0
749.6556,0.0,0.7727,0.175,0.0,0.0,0.0
749.6667,0.0,0.7727,0.175,0.0,0.0,0.0
749.6778,0.0,0.7727,0.175,0.0,0.0,0.0
749.6889,0.0,0.7727,0.175,0.0,0.0,0.0
749.7,0.0,0.7727,0.175,0.0,0.0,0.0
749.7111,0.0,0.7727,0.175,0.0,0.0,0.0
749.7222,0.0,0.7727,0.175,0.0,0.0,0.0
749.7333,0.0,0.7727,0.175,0.0,0.0,0.0
749.7444,0.0,0.7727,0.175,0.0,0.0,0.0
749.7556,0.0,0.7727,0.175,0.0,0.0,0.0
749.7667,0.0,0.7727,0.175,0.0,0.0,0.0
749.7778,0.0,0.7727,0.175,0.0,0.0,0.0
749.7889,0.0,0.7727,0.175,0.0,0.0,0.0
749.8,0.0,0.7727,0.175,0.0,0.0,0.0
749.8112,0.0,0.7727,0.175,0.0,0.0,0.0
749.8223,0.0,0.7727,0.175,0.0,0.0,0.0
749.8334,0.0,0.7727,0.175,0.0,0.0,0.0
749.8445,0.0,0.7727,0.175,0.0,0.0,0.0
749.8556,0.0,0.7727,0.175,0.0,0.0,0.0
749.8667,0.0,0.7727,0.175,0.0,0.0,0.0
749.8778,0.0,0.7727,0.175,0.0,0.0,0.0
749.8889,0.0,0.7727,0.175,0.0,0.0,0.0
749.9,0.0,0.7727,0.175,0.0,0.0,0.0
749.9111,0.0,0.7727,0.175,0.0,0.0,0.0
749.9222,0.0,0.7727,0.175,0.0,0.0,0.0
749.9333,0.0,0.7727,0.175,0.0,0.0,0.0
749.9445,0.0,0.7727,0.175,0.0,0.0,0.0
749.9556,0.0,0.7727,0.175,0.0,0.0,0.0
749.9667,0.0,0.7727,0.175,0.0,0.0,0.0
749.9778,0.0,0.7727,0.175,0.0,0.0,0.0
749.9889,0.0,0.7727,0.175,0.0,0.0,0.0
750.0,0.0,0.7727,0.175,0.0,0.0,0.0
