time,Target_pos_x,Target_pos_y,Target_pos_z,Target_rot_x,Target_rot_y,Target_rot_z
629.2444,0.0,0.7727,0.175,0.0,0.0,0.0
629.2556,0.0,0.7727,0.175,0.0,0.0,0.0
629.2667,0.0,0.7727,0.175,0.0,0.0,0.0
629.2778,0.0,0.7727,0.175,0.0,0.0,0.0
629.2889,0.0,0.7727,0.175,0.0,0.0,0.0
629.3,0.0,0.7727,0.175,0.0,0.0,0.0
629.3111,0.0,0.7727,0.175,0.0,0.0,0.0
629.3223,0.0,0.7727,0.175,0.0,0.0,0.0
629.3334,0.0,0.7727,0.175,0.0,0.0,0.0
629.3445,0.0,0.7727,0.175,0.0,0.0,0.0
629.3556,0.0,0.7727,0.175,0.0,0.0,0.0
629.3667,0.0,0.7727,0.175,0.0,0.0,0.0
629.3778,0.0,0.7727,0.175,0.0,0.0,0.0
629.3889,0.0,0.7727,0.175,0.0,0.0,0.0
629.4,0.0,0.7727,0.175,0.0,0.0,0.0
629.4111,0.0,0.7727,0.175,0.0,0.0,0.0
629.4222,0.0,0.7727,0.175,0.0,0.0,0.0
629.4333,0.0,0.7727,0.175,0.0,0.0,0.0
629.4445,0.0,0.7727,0.175,0.0,0.0,0.0
629.4556,0.0,0.7727,0.175,0.0,0.0,0.0
629.4667,0.0,0.7727,0.175,0.0,0.0,0.0
629.4778,0.0,0.7727,0.175,0.0,0.0,0.0
629.4889,0.0,0.7727,0.175,0.0,0.0,0.0
629.5,0.0,0.7727,0.175,0.0,0.0,0.0
629.5111,0.0,0.7727,0.175,0.0,0.0,0.0
629.5222,0.0,0.7727,0.175,0.0,0.0,0.0
629.5333,0.0,0.7727,0.175,0.0,0.0,0.0
629.5444,0.0,0.7727,0.175,0.0,0.0,0.0
629.5555,0.0,0.7727,0.175,0.0,0.0,0.0
629.5667,0.0,0.7727,0.175,0.0,0.0,0.0
629.5778,0.0,0.7727,0.175,0.0,0.0,0.0
629.5889,0.0,0.7727,0.175,0.0,0.0,0.0
629.6,0.0,0.7727,0.175,0.0,0.0,0.0
629.6111,0.0,0.7727,0.175,0.0,0.0,0.0
629.6223,0.0,0.7727,0.175,0.0,0.0,0.0
629.6334,0.0,0.7727,0.175,0.0,0.0,0.0
629.6445,0.0,0.7727,0.175,0.0,0.0,0.0
629.6556,0.0,0.7727,0.175,0.0,0.0,0.0
629.6667,0.0,0.7727,0.175,0.0,0.0,0.0
629.6778,0.0,0.7727,0.175,0.0,0.0,0.0
629.6889,0.0,0.7727,0.175,0.0,0.0,0.0
629.7,0.0,0.7727,0.175,0.0,0.0,0.0
629.7111,0.0,0.7727,0.175,0.0,0.0,0.0
629.7222,0.0,0.7727,0.175,0.0,0.0,0.0
629.7333,0.0,0.7727,0.175,0.0,0.0,0.0
629.7444,0.0,0.7727,0.175,0.0,0.0,0.0
629.7556,0.0,0.7727,0.175,0.0,0.0,0.0
629.7667,0.0,0.7727,0.175,0.0,0.0,0.0
629.7778,0.0,0.7727,0.175,0.0,0.0,0.0
629.7889,0.0,0.7727,0.175,0.0,0.0,0.0
629.8,0.0,0.7727,0.175,0.0,0.0,0.0
629.8111,0.0,0.7727,0.175,0.0,0.0,0.0
629.8223,0.0,0.7727,0.175,0.0,0.0,0.0
629.8334,0.0,0.7727,0.175,0.0,0.0,0.0
629.8445,0.0,0.7727,0.175,0.0,0.0,0.0
629.8556,0.0,0.7727,0.175,0.0,0.0,0.0
629.8667,0.0,0.7727,0.175,0.0,0.0,0.0
629.8778,0.0,0.7727,0.175,0.0,0.0,0.0
629.8889,0.0,0.7727,0.175,0.0,0.0,0.0
629.9,0.0,0.7727,0.175,0.0,0.0,0.0
629.9111,0.0,0.7727,0.175,0.0,0.0,0.0
629.9222,0.0,0.7727,0.175,0.0,0.0,0.0
629.9333,0.0,0.7727,0.175,0.0,0.0,0.0
629.9445,0.0,0.7727,0.175,0.0,0.0,0.0
629.9556,0.0,0.7727,0.175,0.0,0.0,0.0
629.9667,0.0,0.7727,0.175,0.0,0.0,0.0
629.9778,0.0,0.7727,0.175,0.0,0.0,0.0
629.9889,0.0,0.7727,0.175,0.0,0.0,0.0
630.0,0.0,0.7727,0.175,0.0,0.0,0.0
630.0111,0.0,0.7727,0.175,0.0,0.0,0.0
630.0222,0.0,0.7727,0.175,0.0,0.0,0.0
630.0333,0.0,0.7727,0.175,0.0,0.0,0.0
630.0444,0.0,0.7727,0.175,0.0,0.0,0.0
630.0555,0.0,0.7727,0.175,0.0,0.0,0.0
630.0667,0.0,0.7727,0.175,0.0,0.0,0.0
630.0778,0.0,0.7727,0.175,0.0,0.0,0.0
630.0889,0.0,0.7727,0.175,0.0,0.0,0.0
630.1,0.0,0.7727,0.175,0.0,0.0,0.0
630.1111,0.0,0.7727,0.175,0.0,0.0,0.0
630.1223,0.0,0.7727,0.175,0.0,0.0,0.0
630.1334,0.0,0.7727,0.175,0.0,0.0,0.0
630.1445,0.0,0.7727,0.175,0.0,0.0,0.0
630.1556,0.0,0.7727,0.175,0.0,0.0,0.0
630.1667,0.0,0.7727,0.175,0.0,0.0,0.0
630.1778,0.0,0.7727,0.175,0.0,0.0,0.0
630.1889,0.0,0.7727,0.175,0.0,0.0,0.0
630.2,0.0,0.7727,0.175,0.0,0.0,0.0
630.2111,0.0,0.7727,0.175,0.0,0.0,0.0
630.2222,0.0,0.7727,0.175,0.0,0.0,0.0
630.2333,0.0,0.7727,0.175,0.0,0.0,0.0
630.2444,0.0,0.7727,0.175,0.0,0.0,0.0
630.2556,0.0,0.7727,0.175,0.0,0.0,0.0
630.2667,0.0,0.7727,0.175,0.0,0.0,0.0
630.2778,0.0,0.7727,0.175,0.0,0.0,0.0
630.2889,0.0,0.7727,0.175,0.0,0.0,0.0
630.3,0.0,0.7727,0.175,0.0,0.0,0.0
630.3111,0.0,0.7727,0.175,0.0,0.0,0.0
630.3223,0.0,0.7727,0.175,0.0,0.0,0.0
630.3334,0.0,0.7727,0.175,0.0,0.0,0.0
630.3445,0.0,0.7727,0.175,0.0,0.0,0.0
630.3556,0.0,0.7727,0.175,0.0,0.0,0.0
630.3667,0.0,0.7727,0.175,0.0,0.0,0.0
630.3778,0.0,0.7727,0.175,0.0,0.0,0.0
630.3889,0.0,0.7727,0.175,0.0,0.0,0.0
630.4,0.0,0.7727,0.175,0.0,0.0,0.0
630.4111,0.0,0.7727,0.175,0.0,0.0,0.0
630.4222,0.0,0.7727,0.175,0.0,0.0,0.0
630.4333,0.0,0.7727,0.175,0.0,0.0,0.0
630.4445,0.0,0.7727,0.175,0.0,0.0,0.0
630.4556,0.0,0.7727,0.175,0.0,0.0,0.0
630.4667,0.0,0.7727,0.175,0.0,0.0,0.0
630.4778,0.0,0.7727,0.175,0.0,0.0,0.0
