time,FailOnTouchObstacleLong_pos_x,FailOnTouchObstacleLong_pos_y,FailOnTouchObstacleLong_pos_z,FailOnTouchObstacleLong_rot_x,FailOnTouchObstacleLong_rot_y,FailOnTouchObstacleLong_rot_z
990.5222,0.0525,0.79,-0.055,0.0,0.0,0.0
990.5334,0.0525,0.79,-0.055,0.0002,0.0002,0.0002
990.5445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.5556,0.0525,0.79,-0.055,0.0005,0.0005,0.0005
990.5667,0.0525,0.79,-0.055,0.0005,0.0005,0.0005
990.5778,0.0525,0.79,-0.055,0.0005,0.0005,0.0005
990.5889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.6,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.6111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.6223,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.6334,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.6445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.6556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.6667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.6778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.6889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.7,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.7111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.7222,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.7333,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.7444,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.7556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.7667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.7778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.7889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.8,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.8112,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.8223,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.8334,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.8445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.8556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.8667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.8778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.8889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.9,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.9111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.9222,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.9333,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.9445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.9556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.9667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.9778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
990.9889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.0,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.0111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.0222,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.0334,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.0445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.0556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.0667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.0778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.0889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.1,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.1111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.1223,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.1334,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.1445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.1556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.1667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.1778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.1889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.2,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.2111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.2222,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.2333,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.2444,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.2556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.2667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.2778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.2889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.3,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.3112,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.3223,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.3334,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.3445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.3556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.3667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.3778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.3889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.4,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.4111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.4222,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.4333,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.4445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.4556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.4667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.4778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.4889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.5,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.5111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.5222,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.5334,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.5445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.5556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.5667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.5778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.5889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.6,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.6111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.6223,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.6334,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.6445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.6556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.6667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.6778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.6889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.7,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.7111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.7222,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.7333,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.7444,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.7556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.7667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.7778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.7889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.8,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.8112,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.8223,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.8334,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.8445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.8556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.8667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.8778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.8889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.9,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.9111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.9222,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.9333,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.9445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.9556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.9667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.9778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
991.9889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
992.0,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
992.0111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
992.0222,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
992.0334,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
992.0445,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
992.0556,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
992.0667,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
992.0778,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
992.0889,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
992.1,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
992.1111,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
992.1223,0.0525,0.79,-0.055,0.0004,0.0004,0.0004
