time,FailOnTouchObstacleMed-1_pos_x,FailOnTouchObstacleMed-1_pos_y,FailOnTouchObstacleMed-1_pos_z,FailOnTouchObstacleMed-1_rot_x,FailOnTouchObstacleMed-1_rot_y,FailOnTouchObstacleMed-1_rot_z
701.6667,0.0575,0.79,0.055,0.0,0.0,0.0
701.6778,0.0575,0.79,0.055,0.0,0.0,0.0
701.6889,0.0575,0.79,0.055,0.0,0.0,0.0
701.7,0.0575,0.79,0.055,0.0,0.0,0.0
701.7111,0.0575,0.79,0.055,0.0,0.0,0.0
701.7222,0.0575,0.79,0.055,0.0,0.0,0.0
701.7333,0.0575,0.79,0.055,0.0,0.0,0.0
701.7444,0.0575,0.79,0.055,0.0,0.0,0.0
701.7556,0.0575,0.79,0.055,0.0,0.0,0.0
701.7667,0.0575,0.79,0.055,0.0,0.0,0.0
701.7778,0.0575,0.79,0.055,0.0,0.0,0.0
701.7889,0.0575,0.79,0.055,0.0,0.0,0.0
701.8,0.0575,0.79,0.055,0.0,0.0,0.0
701.8112,0.0575,0.79,0.055,0.0,0.0,0.0
701.8223,0.0575,0.79,0.055,0.0,0.0,0.0
701.8334,0.0575,0.79,0.055,0.0,0.0,0.0
701.8445,0.0575,0.79,0.055,0.0,0.0,0.0
701.8556,0.0575,0.79,0.055,0.0,0.0,0.0
701.8667,0.0575,0.79,0.055,0.0,0.0,0.0
701.8778,0.0575,0.79,0.055,0.0,0.0,0.0
701.8889,0.0575,0.79,0.055,0.0,0.0,0.0
701.9,0.0575,0.79,0.055,0.0,0.0,0.0
701.9111,0.0575,0.79,0.055,0.0,0.0,0.0
701.9222,0.0575,0.79,0.055,0.0,0.0,0.0
701.9333,0.0575,0.79,0.055,0.0,0.0,0.0
701.9445,0.0575,0.79,0.055,0.0,0.0,0.0
701.9556,0.0575,0.79,0.055,0.0,0.0,0.0
701.9667,0.0575,0.79,0.055,0.0,0.0,0.0
701.9778,0.0575,0.79,0.055,0.0,0.0,0.0
701.9889,0.0575,0.79,0.055,0.0,0.0,0.0
702.0,0.0575,0.79,0.055,0.0,0.0,0.0
702.0111,0.0575,0.79,0.055,0.0,0.0,0.0
702.0222,0.0575,0.79,0.055,0.0,0.0,0.0
702.0333,0.0575,0.79,0.055,0.0,0.0,0.0
702.0444,0.0575,0.79,0.055,0.0,0.0,0.0
702.0556,0.0575,0.79,0.055,0.0,0.0,0.0
702.0667,0.0575,0.79,0.055,0.0,0.0,0.0
702.0778,0.0575,0.79,0.055,0.0,0.0,0.0
702.0889,0.0575,0.79,0.055,0.0,0.0,0.0
702.1,0.0575,0.79,0.055,0.0,0.0,0.0
702.1111,0.0575,0.79,0.055,0.0,0.0,0.0
702.1223,0.0575,0.79,0.055,0.0,0.0,0.0
702.1334,0.0575,0.79,0.055,0.0,0.0,0.0
702.1445,0.0575,0.79,0.055,0.0,0.0,0.0
702.1556,0.0575,0.79,0.055,0.0,0.0,0.0
702.1667,0.0575,0.79,0.055,0.0,0.0,0.0
702.1778,0.0575,0.79,0.055,0.0,0.0,0.0
702.1889,0.0575,0.79,0.055,0.0,0.0,0.0
702.2,0.0575,0.79,0.055,0.0,0.0,0.0
702.2111,0.0575,0.79,0.055,0.0,0.0,0.0
702.2222,0.0575,0.79,0.055,0.0,0.0,0.0
702.2333,0.0575,0.79,0.055,0.0,0.0,0.0
702.2444,0.0575,0.79,0.055,0.0,0.0,0.0
702.2556,0.0575,0.79,0.055,0.0,0.0,0.0
702.2667,0.0575,0.79,0.055,0.0,0.0,0.0
702.2778,0.0575,0.79,0.055,0.0,0.0,0.0
702.2889,0.0575,0.79,0.055,0.0,0.0,0.0
702.3,0.0575,0.79,0.055,0.0,0.0,0.0
702.3112,0.0575,0.79,0.055,0.0,0.0,0.0
702.3223,0.0575,0.79,0.055,0.0,0.0,0.0
702.3334,0.0575,0.79,0.055,0.0,0.0,0.0
702.3445,0.0575,0.79,0.055,0.0,0.0,0.0
702.3556,0.0575,0.79,0.055,0.0,0.0,0.0
702.3667,0.0575,0.79,0.055,0.0,0.0,0.0
702.3778,0.0575,0.79,0.055,0.0,0.0,0.0
702.3889,0.0575,0.79,0.055,0.0,0.0,0.0
702.4,0.0575,0.79,0.055,0.0,0.0,0.0
702.4111,0.0575,0.79,0.055,0.0,0.0,0.0
702.4222,0.0575,0.79,0.055,0.0,0.0,0.0
702.4333,0.0575,0.79,0.055,0.0,0.0,0.0
702.4445,0.0575,0.79,0.055,0.0,0.0,0.0
702.4556,0.0575,0.79,0.055,0.0,0.0,0.0
702.4667,0.0575,0.79,0.055,0.0,0.0,0.0
702.4778,0.0575,0.79,0.055,0.0,0.0,0.0
702.4889,0.0575,0.79,0.055,0.0,0.0,0.0
702.5,0.0575,0.79,0.055,0.0,0.0,0.0
702.5111,0.0575,0.79,0.055,0.0,0.0,0.0
702.5222,0.0575,0.79,0.055,0.0,0.0,0.0
702.5333,0.0575,0.79,0.055,0.0,0.0,0.0
702.5444,0.0575,0.79,0.055,0.0,0.0,0.0
702.5556,0.0575,0.79,0.055,0.0,0.0,0.0
702.5667,0.0575,0.79,0.055,0.0,0.0,0.0
702.5778,0.0575,0.79,0.055,0.0,0.0,0.0
702.5889,0.0575,0.79,0.055,0.0,0.0,0.0
702.6,0.0575,0.79,0.055,0.0,0.0,0.0
702.6111,0.0575,0.79,0.055,0.0,0.0,0.0
702.6223,0.0575,0.79,0.055,0.0,0.0,0.0
702.6334,0.0575,0.79,0.055,0.0,0.0,0.0
702.6445,0.0575,0.79,0.055,0.0,0.0,0.0
702.6556,0.0575,0.79,0.055,0.0,0.0,0.0
702.6667,0.0575,0.79,0.055,0.0,0.0,0.0
702.6778,0.0575,0.79,0.055,0.0,0.0,0.0
702.6889,0.0575,0.79,0.055,0.0,0.0,0.0
702.7,0.0575,0.79,0.055,0.0,0.0,0.0
702.7111,0.0575,0.79,0.055,0.0,0.0,0.0
702.7222,0.0575,0.79,0.055,0.0,0.0,0.0
702.7333,0.0575,0.79,0.055,0.0,0.0,0.0
702.7444,0.0575,0.79,0.055,0.0,0.0,0.0
702.7556,0.0575,0.79,0.055,0.0,0.0,0.0
702.7667,0.0575,0.79,0.055,0.0,0.0,0.0
702.7778,0.0575,0.79,0.055,0.0,0.0,0.0
702.7889,0.0575,0.79,0.055,0.0,0.0,0.0
702.8,0.0575,0.79,0.055,0.0,0.0,0.0
702.8112,0.0575,0.79,0.055,0.0,0.0,0.0
702.8223,0.0575,0.79,0.055,0.0,0.0,0.0
702.8334,0.0575,0.79,0.055,0.0,0.0,0.0
