time,FailOnTouchObstacleMed_pos_x,FailOnTouchObstacleMed_pos_y,FailOnTouchObstacleMed_pos_z,FailOnTouchObstacleMed_rot_x,FailOnTouchObstacleMed_rot_y,FailOnTouchObstacleMed_rot_z
629.2444,0.1525,0.79,-0.105,0.0,0.0,0.0
629.2556,0.1525,0.79,-0.105,0.0,0.0,0.0
629.2667,0.1525,0.79,-0.105,0.0,0.0,0.0
629.2778,0.1525,0.79,-0.105,0.0,0.0,0.0
629.2889,0.1525,0.79,-0.105,0.0,0.0,0.0
629.3,0.1525,0.79,-0.105,0.0,0.0,0.0
629.3111,0.1525,0.79,-0.105,0.0,0.0,0.0
629.3223,0.1525,0.79,-0.105,0.0,0.0,0.0
629.3334,0.1525,0.79,-0.105,0.0,0.0,0.0
629.3445,0.1525,0.79,-0.105,0.0,0.0,0.0
629.3556,0.1525,0.79,-0.105,0.0,0.0,0.0
629.3667,0.1525,0.79,-0.105,0.0,0.0,0.0
629.3778,0.1525,0.79,-0.105,0.0,0.0,0.0
629.3889,0.1525,0.79,-0.105,0.0,0.0,0.0
629.4,0.1525,0.79,-0.105,0.0,0.0,0.0
629.4111,0.1525,0.79,-0.105,0.0,0.0,0.0
629.4222,0.1525,0.79,-0.105,0.0,0.0,0.0
629.4333,0.1525,0.79,-0.105,0.0,0.0,0.0
629.4445,0.1525,0.79,-0.105,0.0,0.0,0.0
629.4556,0.1525,0.79,-0.105,0.0,0.0,0.0
629.4667,0.1525,0.79,-0.105,0.0,0.0,0.0
629.4778,0.1525,0.79,-0.105,0.0,0.0,0.0
629.4889,0.1525,0.79,-0.105,0.0,0.0,0.0
629.5,0.1525,0.79,-0.105,0.0,0.0,0.0
629.5111,0.1525,0.79,-0.105,0.0,0.0,0.0
629.5222,0.1525,0.79,-0.105,0.0,0.0,0.0
629.5333,0.1525,0.79,-0.105,0.0,0.0,0.0
629.5444,0.1525,0.79,-0.105,0.0,0.0,0.0
629.5555,0.1525,0.79,-0.105,0.0,0.0,0.0
629.5667,0.1525,0.79,-0.105,0.0,0.0,0.0
629.5778,0.1525,0.79,-0.105,0.0,0.0,0.0
629.5889,0.1525,0.79,-0.105,0.0,0.0,0.0
629.6,0.1525,0.79,-0.105,0.0,0.0,0.0
629.6111,0.1525,0.79,-0.105,0.0,0.0,0.0
629.6223,0.1525,0.79,-0.105,0.0,0.0,0.0
629.6334,0.1525,0.79,-0.105,0.0,0.0,0.0
629.6445,0.1525,0.79,-0.105,0.0,0.0,0.0
629.6556,0.1525,0.79,-0.105,0.0,0.0,0.0
629.6667,0.1525,0.79,-0.105,0.0,0.0,0.0
629.6778,0.1525,0.79,-0.105,0.0,0.0,0.0
629.6889,0.1525,0.79,-0.105,0.0,0.0,0.0
629.7,0.1525,0.79,-0.105,0.0,0.0,0.0
629.7111,0.1525,0.79,-0.105,0.0,0.0,0.0
629.7222,0.1525,0.79,-0.105,0.0,0.0,0.0
629.7333,0.1525,0.79,-0.105,0.0,0.0,0.0
629.7444,0.1525,0.79,-0.105,0.0,0.0,0.0
629.7556,0.1525,0.79,-0.105,0.0,0.0,0.0
629.7667,0.1525,0.79,-0.105,0.0,0.0,0.0
629.7778,0.1525,0.79,-0.105,0.0,0.0,0.0
629.7889,0.1525,0.79,-0.105,0.0,0.0,0.0
629.8,0.1525,0.79,-0.105,0.0,0.0,0.0
629.8111,0.1525,0.79,-0.105,0.0,0.0,0.0
629.8223,0.1525,0.79,-0.105,0.0,0.0,0.0
629.8334,0.1525,0.79,-0.105,0.0,0.0,0.0
629.8445,0.1525,0.79,-0.105,0.0,0.0,0.0
629.8556,0.1525,0.79,-0.105,0.0,0.0,0.0
629.8667,0.1525,0.79,-0.105,0.0,0.0,0.0
629.8778,0.1525,0.79,-0.105,0.0,0.0,0.0
629.8889,0.1525,0.79,-0.105,0.0,0.0,0.0
629.9,0.1525,0.79,-0.105,0.0,0.0,0.0
629.9111,0.1525,0.79,-0.105,0.0,0.0,0.0
629.9222,0.1525,0.79,-0.105,0.0,0.0,0.0
629.9333,0.1525,0.79,-0.105,0.0,0.0,0.0
629.9445,0.1525,0.79,-0.105,0.0,0.0,0.0
629.9556,0.1525,0.79,-0.105,0.0,0.0,0.0
629.9667,0.1525,0.79,-0.105,0.0,0.0,0.0
629.9778,0.1525,0.79,-0.105,0.0,0.0,0.0
629.9889,0.1525,0.79,-0.105,0.0,0.0,0.0
