time,Target_pos_x,Target_pos_y,Target_pos_z,Target_rot_x,Target_rot_y,Target_rot_z
535.6778,0.0,0.7727,0.175,0.0,0.0,0.0
535.6889,0.0,0.7727,0.175,0.0,0.0,0.0
535.7,0.0,0.7727,0.175,0.0,0.0,0.0
535.7111,0.0,0.7727,0.175,0.0,0.0,0.0
535.7222,0.0,0.7727,0.175,0.0,0.0,0.0
535.7333,0.0,0.7727,0.175,0.0,0.0,0.0
535.7444,0.0,0.7727,0.175,0.0,0.0,0.0
535.7556,0.0,0.7727,0.175,0.0,0.0,0.0
535.7667,0.0,0.7727,0.175,0.0,0.0,0.0
535.7778,0.0,0.7727,0.175,0.0,0.0,0.0
535.7889,0.0,0.7727,0.175,0.0,0.0,0.0
535.8,0.0,0.7727,0.175,0.0,0.0,0.0
535.8111,0.0,0.7727,0.175,0.0,0.0,0.0
535.8223,0.0,0.7727,0.175,0.0,0.0,0.0
535.8334,0.0,0.7727,0.175,0.0,0.0,0.0
535.8445,0.0,0.7727,0.175,0.0,0.0,0.0
535.8556,0.0,0.7727,0.175,0.0,0.0,0.0
535.8667,0.0,0.7727,0.175,0.0,0.0,0.0
535.8778,0.0,0.7727,0.175,0.0,0.0,0.0
535.8889,0.0,0.7727,0.175,0.0,0.0,0.0
535.9,0.0,0.7727,0.175,0.0,0.0,0.0
535.9111,0.0,0.7727,0.175,0.0,0.0,0.0
535.9222,0.0,0.7727,0.175,0.0,0.0,0.0
535.9333,0.0,0.7727,0.175,0.0,0.0,0.0
535.9445,0.0,0.7727,0.175,0.0,0.0,0.0
535.9556,0.0,0.7727,0.175,0.0,0.0,0.0
535.9667,0.0,0.7727,0.175,0.0,0.0,0.0
535.9778,0.0,0.7727,0.175,0.0,0.0,0.0
535.9889,0.0,0.7727,0.175,0.0,0.0,0.0
536.0,0.0,0.7727,0.175,0.0,0.0,0.0
536.0111,0.0,0.7727,0.175,0.0,0.0,0.0
536.0222,0.0,0.7727,0.175,0.0,0.0,0.0
536.0333,0.0,0.7727,0.175,0.0,0.0,0.0
536.0444,0.0,0.7727,0.175,0.0,0.0,0.0
536.0555,0.0,0.7727,0.175,0.0,0.0,0.0
536.0667,0.0,0.7727,0.175,0.0,0.0,0.0
536.0778,0.0,0.7727,0.175,0.0,0.0,0.0
536.0889,0.0,0.7727,0.175,0.0,0.0,0.0
536.1,0.0,0.7727,0.175,0.0,0.0,0.0
536.1111,0.0,0.7727,0.175,0.0,0.0,0.0
536.1223,0.0,0.7727,0.175,0.0,0.0,0.0
536.1334,0.0,0.7727,0.175,0.0,0.0,0.0
536.1445,0.0,0.7727,0.175,0.0,0.0,0.0
536.1556,0.0,0.7727,0.175,0.0,0.0,0.0
536.1667,0.0,0.7727,0.175,0.0,0.0,0.0
536.1778,0.0,0.7727,0.175,0.0,0.0,0.0
536.1889,0.0,0.7727,0.175,0.0,0.0,0.0
536.2,0.0,0.7727,0.175,0.0,0.0,0.0
536.2111,0.0,0.7727,0.175,0.0,0.0,0.0
536.2222,0.0,0.7727,0.175,0.0,0.0,0.0
536.2333,0.0,0.7727,0.175,0.0,0.0,0.0
536.2444,0.0,0.7727,0.175,0.0,0.0,0.0
536.2556,0.0,0.7727,0.175,0.0,0.0,0.0
536.2667,0.0,0.7727,0.175,0.0,0.0,0.0
536.2778,0.0,0.7727,0.175,0.0,0.0,0.0
536.2889,0.0,0.7727,0.175,0.0,0.0,0.0
536.3,0.0,0.7727,0.175,0.0,0.0,0.0
536.3111,0.0,0.7727,0.175,0.0,0.0,0.0
536.3223,0.0,0.7727,0.175,0.0,0.0,0.0
536.3334,0.0,0.7727,0.175,0.0,0.0,0.0
536.3445,0.0,0.7727,0.175,0.0,0.0,0.0
536.3556,0.0,0.7727,0.175,0.0,0.0,0.0
536.3667,0.0,0.7727,0.175,0.0,0.0,0.0
536.3778,0.0,0.7727,0.175,0.0,0.0,0.0
536.3889,0.0,0.7727,0.175,0.0,0.0,0.0
536.4,0.0,0.7727,0.175,0.0,0.0,0.0
536.4111,0.0,0.7727,0.175,0.0,0.0,0.0
536.4222,0.0,0.7727,0.175,0.0,0.0,0.0
536.4333,0.0,0.7727,0.175,0.0,0.0,0.0
536.4445,0.0,0.7727,0.175,0.0,0.0,0.0
536.4556,0.0,0.7727,0.175,0.0,0.0,0.0
536.4667,0.0,0.7727,0.175,0.0,0.0,0.0
536.4778,0.0,0.7727,0.175,0.0,0.0,0.0
536.4889,0.0,0.7727,0.175,0.0,0.0,0.0
536.5,0.0,0.7727,0.175,0.0,0.0,0.0
536.5111,0.0,0.7727,0.175,0.0,0.0,0.0
536.5222,0.0,0.7727,0.175,0.0,0.0,0.0
536.5333,0.0,0.7727,0.175,0.0,0.0,0.0
536.5444,0.0,0.7727,0.175,0.0,0.0,0.0
536.5555,0.0,0.7727,0.175,0.0,0.0,0.0
536.5667,0.0,0.7727,0.175,0.0,0.0,0.0
536.5778,0.0,0.7727,0.175,0.0,0.0,0.0
536.5889,0.0,0.7727,0.175,0.0,0.0,0.0
536.6,0.0,0.7727,0.175,0.0,0.0,0.0
536.6111,0.0,0.7727,0.175,0.0,0.0,0.0
536.6223,0.0,0.7727,0.175,0.0,0.0,0.0
536.6334,0.0,0.7727,0.175,0.0,0.0,0.0
536.6445,0.0,0.7727,0.175,0.0,0.0,0.0
536.6556,0.0,0.7727,0.175,0.0,0.0,0.0
536.6667,0.0,0.7727,0.175,0.0,0.0,0.0
536.6778,0.0,0.7727,0.175,0.0,0.0,0.0
536.6889,0.0,0.7727,0.175,0.0,0.0,0.0
536.7,0.0,0.7727,0.175,0.0,0.0,0.0
536.7111,0.0,0.7727,0.175,0.0,0.0,0.0
536.7222,0.0,0.7727,0.175,0.0,0.0,0.0
536.7333,0.0,0.7727,0.175,0.0,0.0,0.0
536.7444,0.0,0.7727,0.175,0.0,0.0,0.0
536.7556,0.0,0.7727,0.175,0.0,0.0,0.0
536.7667,0.0,0.7727,0.175,0.0,0.0,0.0
536.7778,0.0,0.7727,0.175,0.0,0.0,0.0
536.7889,0.0,0.7727,0.175,0.0,0.0,0.0
536.8,0.0,0.7727,0.175,0.0,0.0,0.0
536.8111,0.0,0.7727,0.175,0.0,0.0,0.0
536.8223,0.0,0.7727,0.175,0.0,0.0,0.0
536.8334,0.0,0.7727,0.175,0.0,0.0,0.0
536.8445,0.0,0.7727,0.175,0.0,0.0,0.0
536.8556,0.0,0.7727,0.175,0.0,0.0,0.0
536.8667,0.0,0.7727,0.175,0.0,0.0,0.0
536.8778,0.0,0.7727,0.175,0.0,0.0,0.0
536.8889,0.0,0.7727,0.175,0.0,0.0,0.0
536.9,0.0,0.7727,0.175,0.0,0.0,0.0
536.9111,0.0,0.7727,0.175,0.0,0.0,0.0
536.9222,0.0,0.7727,0.175,0.0,0.0,0.0
536.9333,0.0,0.7727,0.175,0.0,0.0,0.0
536.9445,0.0,0.7727,0.175,0.0,0.0,0.0
536.9556,0.0,0.7727,0.175,0.0,0.0,0.0
536.9667,0.0,0.7727,0.175,0.0,0.0,0.0
