time,FailOnTouchObstacleLong_pos_x,FailOnTouchObstacleLong_pos_y,FailOnTouchObstacleLong_pos_z,FailOnTouchObstacleLong_rot_x,FailOnTouchObstacleLong_rot_y,FailOnTouchObstacleLong_rot_z
441.0778,-0.1075,0.79,-0.105,0.0,0.0,0.0
441.0889,-0.1075,0.79,-0.105,0.0002,0.0002,0.0002
441.1,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.1111,-0.1075,0.79,-0.105,0.0005,0.0005,0.0005
441.1222,-0.1075,0.79,-0.105,0.0005,0.0005,0.0005
441.1333,-0.1075,0.79,-0.105,0.0005,0.0005,0.0005
441.1445,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.1556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.1667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.1778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.1889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.2,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.2111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.2222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.2333,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.2444,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.2556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.2667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.2778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.2889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.3,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.3111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.3222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.3333,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.3445,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.3556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.3667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.3778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.3889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.4,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.4111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.4222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.4333,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.4445,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.4556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.4667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.4778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.4889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.5,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.5111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.5222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.5334,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.5445,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.5556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.5667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.5778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.5889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.6,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.6111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.6222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.6333,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.6445,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.6556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.6667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.6778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.6889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.7,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.7111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.7222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.7333,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.7444,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.7556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.7667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.7778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.7889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.8,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.8111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.8222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.8333,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.8445,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.8556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.8667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.8778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.8889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.9,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.9111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.9222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.9333,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.9445,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.9556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.9667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.9778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
441.9889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.0,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.0111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.0222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.0334,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.0445,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.0556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.0667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.0778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.0889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.1,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.1111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.1222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.1333,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.1445,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.1556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.1667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.1778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.1889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.2,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.2111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.2222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.2333,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.2444,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.2556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.2667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.2778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.2889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.3,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.3111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.3222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.3333,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.3445,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.3556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.3667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.3778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.3889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.4,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.4111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.4222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.4333,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.4445,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.4556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.4667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.4778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.4889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.5,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.5111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.5222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.5334,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.5445,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.5556,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.5667,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.5778,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.5889,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.6,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.6111,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.6222,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
442.6333,-0.1075,0.79,-0.105,0.0004,0.0004,0.0004
